Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation,Field Label Only Not Used in Data Dictionary,Field 1
mmol_glu45,crf_4a_blood_sampling_and_processing,,calc,Timepoint 45 Glucose in mmol/L,"if([ogtt_unit]='1',[glu45], 
if([ogtt_unit]='2',round([glu45]/18,2),''))",,,,,,,,,,,,@HIDDEN,Timepoint 45 Glucose in mmol/L,
out_glu45,crf_4a_blood_sampling_and_processing,,calc,glucose 45 minutes > 24.6,"if([mmol_glu45] > 24.6, 1, 0)",,,,,,,,,,,,@HIDDEN,glucose 45 minutes > 24.6,
desc_out_glu45,crf_4a_blood_sampling_and_processing,,descriptive,"<div class=""red"" style=""text-align: left;""><span style=""font-weight: bold; font-size: 18px;"">Input to glucose result is incorrect. Verify data source.</span></div>",,,,,,,[out_glu45]='1',,,,,,,"<div class=""red"" style=""text-align: left;""><span style=""font-weight: bold; font-size: 18px;"">Input to glucose result is incorrect. Verify data source.</span></div>",
glu45_missing,crf_4a_blood_sampling_and_processing,,radio,Any problems with OGTT Results?,"0, No | -104, glucose less than min | -105, glucose greater than max| 9, Others, specify {glu45_mis_specify}",,,,,,(([sample_gp]='1' and [standard_ogtt]='1') OR [sample_gp]='3') and [fasting]='1',,,,,,,Any problems with OGTT Results?,
glu45_mis_specify,crf_4a_blood_sampling_and_processing,,text,"Others, specify",,,,,,,[glu45_missing]='9',,,,,,,"Others, specify",
cpeptide45,crf_4a_blood_sampling_and_processing,,text,[5.7] C_Peptide_Time45,,,number,0,,,(([sample_gp]='1' and [standard_ogtt]='1') OR [sample_gp]='3') and [fasting]='1',,,[5.7],,,,C_Peptide_Time45,5.7
insulin45,crf_4a_blood_sampling_and_processing,,text,[5.7] Insulin_Time45,,,number,0,,,(([sample_gp]='1' and [standard_ogtt]='1') OR [sample_gp]='3') and [fasting]='1',,,[5.7],,,,Insulin_Time45,5.7
time60_header,crf_4a_blood_sampling_and_processing,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; background-color: #236fa1;"" border=""1""> <tbody> <tr> <td style=""width: 98.4556%;""> <h1><span style=""color: #ffffff;"">Time 60</span></h1> </td> </tr> </tbody> </table></div>",,,,,,,[fasting]='1',,,,,,,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; background-color: #236fa1;"" border=""1""> <tbody> <tr> <td style=""width: 98.4556%;""> <h1><span style=""color: #ffffff;"">Time 60</span></h1> </td> </tr> </tbody> </table></div>",
ogtt_time60,crf_4a_blood_sampling_and_processing,,text,[4.4] Time 60 minutes,,,time,,,,[fasting]='1',,,[4.4],,,"@PLACEHOLDER=""00:00""",Time 60 minutes,4.4
time60_z,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 60: Onsite EDTA,,,,,,,[fasting]='1',,,,,,@BARCODE-APP @HIDDEN,Sample ID of Time 60: Onsite EDTA,
time60_a,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 60: Aliquot A (EDTA),,,,,,,[fasting]='1',,,,,,@BARCODE-APP,Sample ID of Time 60: Aliquot A (EDTA),
time60_b,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 60: Aliquot B (EDTA),,,,,,,[fasting]='1',,,,,,@BARCODE-APP,Sample ID of Time 60: Aliquot B (EDTA),
time60_c,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 60: Aliquot C (EDTA),,,,,,,[fasting]='1',,,,,,@BARCODE-APP,Sample ID of Time 60: Aliquot C (EDTA),
time60_e,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 60: Aliquot E (Cooled EDTA),,,,,,,[sample_gp]='3' and [fasting]='1',,,,,,@BARCODE-APP,Sample ID of Time 60: Aliquot E (Cooled EDTA),
time60_f,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 60: Aliquot F (Cooled EDTA),,,,,,,[sample_gp]='3' and [fasting]='1',,,,,,@BARCODE-APP,Sample ID of Time 60: Aliquot F (Cooled EDTA),
time60_g,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 60: Aliquot G (Cooled EDTA),,,,,,,[sample_gp]='3' and [fasting]='1',,,,,,@BARCODE-APP,Sample ID of Time 60: Aliquot G (Cooled EDTA),
time60_h,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 60: Aliquot H (Aprotinin),,,,,,,[sample_gp]='3' and [fasting]='1',,,,,,@BARCODE-APP,Sample ID of Time 60: Aliquot H (Aprotinin),
time60_j,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 60: Aliquot J (Aprotinin),,,,,,,[sample_gp]='3' and [fasting]='1',,,,,,@BARCODE-APP,Sample ID of Time 60: Aliquot J (Aprotinin),
time60_k,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 60: Aliquot K (Aprotinin),,,,,,,[sample_gp]='3' and [fasting]='1',,,,,,@BARCODE-APP,Sample ID of Time 60: Aliquot K (Aprotinin),
ogtt_sample_edta60,crf_4a_blood_sampling_and_processing,,radio,[4.5] 60 min EDTA,"0, No | 1, Yes",,,,,,[fasting]='1',,RH,[4.5],,,,60 min EDTA,4.5
ogtt_sample_apro60,crf_4a_blood_sampling_and_processing,,radio,[4.11] 60 min aprotinin,"0, No | 1, Yes",,,,,,[sample_gp]='3' and [fasting]='1',,RH,[4.11],,,,60 min aprotinin,4.11
ogtt_sample_edta60_cold,crf_4a_blood_sampling_and_processing,,radio,[4.11] 60 min cooled EDTA,"0, No | 1, Yes",,,,,,[sample_gp]='3' and [fasting]='1',,RH,[4.11],,,,60 min cooled EDTA,4.11
ogtt_comment_time60,crf_4a_blood_sampling_and_processing,,text,[4.6] Explain any missing samples or problems in sample collection,,,,,,,[fasting]='1',,,[4.6],,,,Explain any missing samples or problems in sample collection,4.6
time60_header1,crf_4a_blood_sampling_and_processing,,descriptive,"<div class=""blue"" style=""text-align: left;""><span style=""font-weight: bold; font-size: 18px;"">Time 60 OGTT Results</span></div>",,,,,,,[fasting]='1',,,,,,,"<div class=""blue"" style=""text-align: left;""><span style=""font-weight: bold; font-size: 18px;"">Time 60 OGTT Results</span></div>",
glu60,crf_4a_blood_sampling_and_processing,,text,[5.8] OGTT result_Time60,,,number,0,,,[fasting]='1',,,[5.8],,,,OGTT result_Time60,5.8
mmol_glu60,crf_4a_blood_sampling_and_processing,,calc,Timepoint 60 Glucose in mmol/L,"if([ogtt_unit]='1',[glu60], 
if([ogtt_unit]='2',round([glu60]/18,2),''))",,,,,,,,,,,,@HIDDEN,Timepoint 60 Glucose in mmol/L,
out_glu60,crf_4a_blood_sampling_and_processing,,calc,glucose 60 minutes > 24.6,"if([mmol_glu60] > 24.6, 1, 0)",,,,,,,,,,,,@HIDDEN,glucose 60 minutes > 24.6,
desc_out_glu60,crf_4a_blood_sampling_and_processing,,descriptive,"<div class=""red"" style=""text-align: left;""><span style=""font-weight: bold; font-size: 18px;"">Input to glucose result is incorrect. Verify data source.</span></div>",,,,,,,[out_glu60]='1',,,,,,,"<div class=""red"" style=""text-align: left;""><span style=""font-weight: bold; font-size: 18px;"">Input to glucose result is incorrect. Verify data source.</span></div>",
glu60_missing,crf_4a_blood_sampling_and_processing,,radio,Any problems with OGTT Results?,"0, No | -104, glucose less than min | -105, glucose greater than max| 9, Others, specify {glu60_mis_specify}",,,,,,[fasting]='1',,,,,,,Any problems with OGTT Results?,
glu60_mis_specify,crf_4a_blood_sampling_and_processing,,text,"Others, specify",,,,,,,[glu60_missing]='9',,,,,,,"Others, specify",
cpeptide60,crf_4a_blood_sampling_and_processing,,text,[5.8] C_Peptide_Time60,,,number,0,,,[fasting]='1',,,[5.8],,,,C_Peptide_Time60,5.8
insulin60,crf_4a_blood_sampling_and_processing,,text,[5.8] Insulin_Time60,,,number,0,,,[fasting]='1',,,[5.8],,,,Insulin_Time60,5.8
time90_header,crf_4a_blood_sampling_and_processing,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; background-color: #236fa1;"" border=""1""> <tbody> <tr> <td style=""width: 98.4556%;""> <h1><span style=""color: #ffffff;"">Time 90</span></h1> </td> </tr> </tbody> </table></div>",,,,,,,(([sample_gp]='1' and [standard_ogtt]='1') OR [sample_gp]='3') and [fasting]='1',,,,,,,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; background-color: #236fa1;"" border=""1""> <tbody> <tr> <td style=""width: 98.4556%;""> <h1><span style=""color: #ffffff;"">Time 90</span></h1> </td> </tr> </tbody> </table></div>",
ogtt_time90,crf_4a_blood_sampling_and_processing,,text,[4.4] Time 90 minutes,,,time,,,,(([sample_gp]='1' and [standard_ogtt]='1') OR [sample_gp]='3') and [fasting]='1',,,[4.4],,,"@PLACEHOLDER=""00:00""",Time 90 minutes,4.4
time90_z,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 90: Onsite EDTA,,,,,,,(([sample_gp]='1' and [standard_ogtt]='1') OR [sample_gp]='3') and [fasting]='1',,,,,,@BARCODE-APP @HIDDEN,Sample ID of Time 90: Onsite EDTA,
time90_a,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 90: Aliquot A (EDTA),,,,,,,(([sample_gp]='1' and [standard_ogtt]='1') OR [sample_gp]='3') and [fasting]='1',,,,,,@BARCODE-APP,Sample ID of Time 90: Aliquot A (EDTA),
time90_b,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 90: Aliquot B (EDTA),,,,,,,(([sample_gp]='1' and [standard_ogtt]='1') OR [sample_gp]='3') and [fasting]='1',,,,,,@BARCODE-APP,Sample ID of Time 90: Aliquot B (EDTA),
time90_c,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 90: Aliquot C (EDTA),,,,,,,(([sample_gp]='1' and [standard_ogtt]='1') OR [sample_gp]='3') and [fasting]='1',,,,,,@BARCODE-APP,Sample ID of Time 90: Aliquot C (EDTA),
time90_e,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 90: Aliquot E (Cooled EDTA),,,,,,,[sample_gp]='3' and [fasting]='1',,,,,,@BARCODE-APP,Sample ID of Time 90: Aliquot E (Cooled EDTA),
time90_f,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 90: Aliquot F (Cooled EDTA),,,,,,,[sample_gp]='3' and [fasting]='1',,,,,,@BARCODE-APP,Sample ID of Time 90: Aliquot F (Cooled EDTA),
time90_g,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 90: Aliquot G (Cooled EDTA),,,,,,,[sample_gp]='3' and [fasting]='1',,,,,,@BARCODE-APP,Sample ID of Time 90: Aliquot G (Cooled EDTA),
time90_h,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 90: Aliquot H (Aprotinin),,,,,,,[sample_gp]='3' and [fasting]='1',,,,,,@BARCODE-APP,Sample ID of Time 90: Aliquot H (Aprotinin),
time90_j,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 90: Aliquot J (Aprotinin),,,,,,,[sample_gp]='3' and [fasting]='1',,,,,,@BARCODE-APP,Sample ID of Time 90: Aliquot J (Aprotinin),
time90_k,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 90: Aliquot K (Aprotinin),,,,,,,[sample_gp]='3' and [fasting]='1',,,,,,@BARCODE-APP,Sample ID of Time 90: Aliquot K (Aprotinin),
ogtt_sample_edta90,crf_4a_blood_sampling_and_processing,,radio,[4.5] 90 min EDTA,"0, No | 1, Yes",,,,,,(([sample_gp]='1' and [standard_ogtt]='1') OR [sample_gp]='3') and [fasting]='1',,RH,[4.5],,,,90 min EDTA,4.5
ogtt_sample_apro90,crf_4a_blood_sampling_and_processing,,radio,[4.11] 90 min aprotinin,"0, No | 1, Yes",,,,,,[sample_gp]='3' and [fasting]='1',,RH,[4.11],,,,90 min aprotinin,4.11
ogtt_sample_edta90_cold,crf_4a_blood_sampling_and_processing,,radio,[4.11] 90 min cooled EDTA,"0, No | 1, Yes",,,,,,[sample_gp]='3' and [fasting]='1',,RH,[4.11],,,,90 min cooled EDTA,4.11
ogtt_comment_time90,crf_4a_blood_sampling_and_processing,,text,[4.6] Explain any missing samples or problems in sample collection,,,,,,,(([sample_gp]='1' and [standard_ogtt]='1') OR [sample_gp]='3') and [fasting]='1',,,[4.6],,,,Explain any missing samples or problems in sample collection,4.6
time90_header1,crf_4a_blood_sampling_and_processing,,descriptive,"<div class=""blue"" style=""text-align: left;""><span style=""font-weight: bold; font-size: 18px;"">Time 90 OGTT Results</span></div>",,,,,,,(([sample_gp]='1' and [standard_ogtt]='1') OR [sample_gp]='3') and [fasting]='1',,,,,,,"<div class=""blue"" style=""text-align: left;""><span style=""font-weight: bold; font-size: 18px;"">Time 90 OGTT Results</span></div>",
glu90,crf_4a_blood_sampling_and_processing,,text,[5.9] OGTT result_Time90,,,number,0,,,(([sample_gp]='1' and [standard_ogtt]='1') OR [sample_gp]='3') and [fasting]='1',,,[5.9],,,,OGTT result_Time90,5.9
mmol_glu90,crf_4a_blood_sampling_and_processing,,calc,Timepoint 90 Glucose in mmol/L,"if([ogtt_unit]='1',[glu90], 
if([ogtt_unit]='2',round([glu90]/18,2),''))",,,,,,,,,,,,@HIDDEN,Timepoint 90 Glucose in mmol/L,
out_glu90,crf_4a_blood_sampling_and_processing,,calc,glucose 90 minutes > 24.6,"if([mmol_glu90] > 24.6, 1, 0)",,,,,,,,,,,,@HIDDEN,glucose 90 minutes > 24.6,
desc_out_glu90,crf_4a_blood_sampling_and_processing,,descriptive,"<div class=""red"" style=""text-align: left;""><span style=""font-weight: bold; font-size: 18px;"">Input to glucose result is incorrect. Verify data source.</span></div>",,,,,,,[out_glu90]='1',,,,,,,"<div class=""red"" style=""text-align: left;""><span style=""font-weight: bold; font-size: 18px;"">Input to glucose result is incorrect. Verify data source.</span></div>",
glu90_missing,crf_4a_blood_sampling_and_processing,,radio,Any problems with OGTT Results?,"0, No | -104, glucose less than min | -105, glucose greater than max| 9, Others, specify {glu90_mis_specify}",,,,,,(([sample_gp]='1' and [standard_ogtt]='1') OR [sample_gp]='3') and [fasting]='1',,,,,,,Any problems with OGTT Results?,
glu90_mis_specify,crf_4a_blood_sampling_and_processing,,text,"Others, specify",,,,,,,[glu90_missing]='9',,,,,,,"Others, specify",
cpeptide90,crf_4a_blood_sampling_and_processing,,text,[5.9] C_Peptide_Time90,,,number,0,,,(([sample_gp]='1' and [standard_ogtt]='1') OR [sample_gp]='3') and [fasting]='1',,,[5.9],,,,C_Peptide_Time90,5.9
insulin90,crf_4a_blood_sampling_and_processing,,text,[5.9] Insulin_Time90,,,number,0,,,(([sample_gp]='1' and [standard_ogtt]='1') OR [sample_gp]='3') and [fasting]='1',,,[5.9],,,,Insulin_Time90,5.9
time120_header,crf_4a_blood_sampling_and_processing,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; background-color: #236fa1;"" border=""1""> <tbody> <tr> <td style=""width: 98.4556%;""> <h1><span style=""color: #ffffff;"">Time 120</span></h1> </td> </tr> </tbody> </table></div>",,,,,,,[fasting]='1',,,,,,,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100%; background-color: #236fa1;"" border=""1""> <tbody> <tr> <td style=""width: 98.4556%;""> <h1><span style=""color: #ffffff;"">Time 120</span></h1> </td> </tr> </tbody> </table></div>",
ogtt_time120,crf_4a_blood_sampling_and_processing,,text,[4.4] Time 120 minutes,,,time,,,,[fasting]='1',,,[4.4],,,"@PLACEHOLDER=""00:00""",Time 120 minutes,4.4
time120_z,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 120: Onsite EDTA,,,,,,,[fasting]='1',,,,,,@BARCODE-APP @HIDDEN,Sample ID of Time 120: Onsite EDTA,
time120_a,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 120: Aliquot A (EDTA),,,,,,,[fasting]='1',,,,,,@BARCODE-APP,Sample ID of Time 120: Aliquot A (EDTA),
time120_b,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 120: Aliquot B (EDTA),,,,,,,[fasting]='1',,,,,,@BARCODE-APP,Sample ID of Time 120: Aliquot B (EDTA),
time120_c,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 120: Aliquot C (EDTA),,,,,,,[fasting]='1',,,,,,@BARCODE-APP,Sample ID of Time 120: Aliquot C (EDTA),
time120_e,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 120: Aliquot E (Cooled EDTA),,,,,,,[sample_gp]='3' and [fasting]='1',,,,,,@BARCODE-APP,Sample ID of Time 120: Aliquot E (Cooled EDTA),
time120_f,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 120: Aliquot F (Cooled EDTA),,,,,,,[sample_gp]='3' and [fasting]='1',,,,,,@BARCODE-APP,Sample ID of Time 120: Aliquot F (Cooled EDTA),
time120_g,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 120: Aliquot G (Cooled EDTA),,,,,,,[sample_gp]='3' and [fasting]='1',,,,,,@BARCODE-APP,Sample ID of Time 120: Aliquot G (Cooled EDTA),
time120_h,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 120: Aliquot H (Aprotinin),,,,,,,[sample_gp]='3' and [fasting]='1',,,,,,@BARCODE-APP,Sample ID of Time 120: Aliquot H (Aprotinin),
time120_j,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 120: Aliquot J (Aprotinin),,,,,,,[sample_gp]='3' and [fasting]='1',,,,,,@BARCODE-APP,Sample ID of Time 120: Aliquot J (Aprotinin),
time120_k,crf_4a_blood_sampling_and_processing,,text,Sample ID of Time 120: Aliquot K (Aprotinin),,,,,,,[sample_gp]='3' and [fasting]='1',,,,,,@BARCODE-APP,Sample ID of Time 120: Aliquot K (Aprotinin),
ogtt_sample_edta120,crf_4a_blood_sampling_and_processing,,radio,[4.5] 120 min EDTA,"0, No | 1, Yes",,,,,,([sample_gp]='1' OR [sample_gp]='3') and [fasting]='1',,RH,[4.5],,,,120 min EDTA,4.5
ogtt_sample_apro120,crf_4a_blood_sampling_and_processing,,radio,[4.11] 120 min aprotinin,"0, No | 1, Yes",,,,,,[sample_gp]='3' and [fasting]='1',,RH,[4.11],,,,120 min aprotinin,4.11
ogtt_sample_edta120_cold,crf_4a_blood_sampling_and_processing,,radio,[4.11] 120 min cooled EDTA,"0, No | 1, Yes",,,,,,[sample_gp]='3' and [fasting]='1',,RH,[4.11],,,,120 min cooled EDTA,4.11
ogtt_comment_time120,crf_4a_blood_sampling_and_processing,,text,[4.6] Explain any missing samples or problems in sample collection,,,,,,,[fasting]='1',,,[4.6],,,,Explain any missing samples or problems in sample collection,4.6
time120_header1,crf_4a_blood_sampling_and_processing,,descriptive,"<div class=""blue"" style=""text-align: left;""><span style=""font-weight: bold; font-size: 18px;"">Time 120 OGTT Results</span></div>",,,,,,,[fasting]='1',,,,,,,"<div class=""blue"" style=""text-align: left;""><span style=""font-weight: bold; font-size: 18px;"">Time 120 OGTT Results</span></div>",
glu120,crf_4a_blood_sampling_and_processing,,text,[5.10] OGTT result_Time120,,,number,0,,,[fasting]='1',,,[5.10],,,,OGTT result_Time120,5.1
mmol_glu120,crf_4a_blood_sampling_and_processing,,calc,Timepoint 120 Glucose in mmol/L,"if([ogtt_unit]='1',[glu120], 
if([ogtt_unit]='2',round([glu120]/18,2),''))",,,,,,,,,,,,@HIDDEN,Timepoint 120 Glucose in mmol/L,
out_glu120,crf_4a_blood_sampling_and_processing,,calc,glucose 120 minutes > 24.6,"if([mmol_glu120] > 24.6, 1, 0)",,,,,,,,,,,,@HIDDEN,glucose 120 minutes > 24.6,
desc_out_glu120,crf_4a_blood_sampling_and_processing,,descriptive,"<div class=""red"" style=""text-align: left;""><span style=""font-weight: bold; font-size: 18px;"">Input to glucose result is incorrect. Verify data source.</span></div>",,,,,,,[out_glu120]='1',,,,,,,"<div class=""red"" style=""text-align: left;""><span style=""font-weight: bold; font-size: 18px;"">Input to glucose result is incorrect. Verify data source.</span></div>",
glu120_missing,crf_4a_blood_sampling_and_processing,,radio,Any problems with OGTT Results?,"0, No | -104, glucose less than min | -105, glucose greater than max| 9, Others, specify {glu120_mis_specify}",,,,,,[fasting]='1',,,,,,,Any problems with OGTT Results?,
glu120_mis_specify,crf_4a_blood_sampling_and_processing,,text,"Others, specify",,,,,,,[glu120_missing]='9',,,,,,,"Others, specify",
cpeptide120,crf_4a_blood_sampling_and_processing,,text,C_Peptide_Time120,,,,,,,[fasting]='1',,,,,,,C_Peptide_Time120,
insulin120,crf_4a_blood_sampling_and_processing,,text,Insulin_Time120,,,,,,,[fasting]='1',,,,,,,Insulin_Time120,
high_hba1c_1,crf_4a_blood_sampling_and_processing,,calc,hba1c>6.5%,"if([hba1c] >= 6.5, 1, 0)",,,,,,,,,,,,,hba1c>6.5%,
high_glu120_1,crf_4a_blood_sampling_and_processing,,calc,glucose 120 minutes > 11.1 mmol/L,"if([mmol_glu120] > 11.1, 1, if([glu120_missing]='-105',1,0))",,,,,,,,,,,,,glucose 120 minutes > 11.1 mmol/L,
desc_refer_rogtt,crf_4a_blood_sampling_and_processing,,descriptive,"<div class=""red"" style=""text-align: left;"">The participant have high HbA1c or glucose levels at 120 minutes which suggest they may have diabetes and need to come back for a second OGTT<br /><br /><span style=""font-size: 5;"">HbA1c=[hba1c]</span> <br /><br /><span style=""font-size: 5;"">120-minute glucose in mmol/L=[mmol_glu120]</span></div>",,,,,,,([high_hba1c_1]='1' or [high_glu120_1]='1') and ([rec_diab]='0'),,,,,,,"<div class=""red"" style=""text-align: left;"">The participant have high HbA1c or glucose levels at 120 minutes which suggest they may have diabetes and need to come back for a second OGTT<br /><br /><span style=""font-size: 5;"">HbA1c=[hba1c]</span> <br /><br /><span style=""font-size: 5;"">120-minute glucose in mmol/L=[mmol_glu120]</span></div>",
desc_no_rogtt,crf_4a_blood_sampling_and_processing,,descriptive,"<div class=""red"" style=""text-align: left;"">This participant has already a known diabetic status. NO NEED TO SCHEDULE FOR A REPEAT OGTT<br /><br /><span style=""font-size: 5;"">HbA1c=[hba1c]</span> <br /><br /><span style=""font-size: 5;"">120-minute glucose in mmol/L=[mmol_glu120]</span></div>",,,,,,,([high_hba1c_1]='1' or [high_glu120_1]='1') and ([rec_diab]='1' or [rec_diab]='2'),,,,,,,"<div class=""red"" style=""text-align: left;"">This participant has already a known diabetic status. NO NEED TO SCHEDULE FOR A REPEAT OGTT<br /><br /><span style=""font-size: 5;"">HbA1c=[hba1c]</span> <br /><br /><span style=""font-size: 5;"">120-minute glucose in mmol/L=[mmol_glu120]</span></div>",
repeat_test_needed,crf_4a_blood_sampling_and_processing,,radio,"[5.11] Does this participant in their first clinic visit have high HbA1c or glucose levels at 120 minutes which suggest they may have diabetes and need to come back for a second OGTT? A second OGTT should be booked WITHIN 2 WEEKS if either:
1. HbA1c ≥ 6.5%
2. 120-minute glucose in OGTT > 11.1 mmol/L","0, No | 1, Yes | 2, Repeat OGTT not needed, has diabetes | -100,Pending | -102,Absconded | -103, Equipment NA",,,,,,,,,[5.11],,,,"Does this participant in their first clinic visit have high HbA1c or glucose levels at 120 minutes which suggest they may have diabetes and need to come back for a second OGTT? A second OGTT should be booked WITHIN 2 WEEKS if either:
1. HbA1c ≥ 6.5%
2. 120-minute glucose in OGTT > 11.1 mmol/L",5.11
repeat_date,crf_4a_blood_sampling_and_processing,,text,[5.12] Date of second OGTT appointment booked,,,date_dmy,,,,[repeat_test_needed]='1',,,[5.12],,,,Date of second OGTT appointment booked,5.12
personnel3,crf_3_clinical_history_and_exam,,text,REDCap ID of Data Entry Personnel,,,,,,,,,,,,,@USERNAME @READONLY ,REDCap ID of Data Entry Personnel,
timestamp3,crf_3_clinical_history_and_exam,,text,Date of Data Entry,,,,,,,,,,,,,@NOW @HIDDEN,Date of Data Entry,
desc_text_crf3,crf_3_clinical_history_and_exam,,descriptive,"<h3 class=""red"" style=""text-align: left;"">Verify that you are entering information for:</h3> <div class=""red"" style=""text-align: left;""> <table style=""border-collapse: collapse;""> <tbody> <tr> <td> <h4>SAMPA ID:</h4> </td> <td> <h4>[sampa_id]</h4> </td> </tr> <tr> <td> <h4>Cohort:</h4> </td> <td> <h4>[cohort]</h4> </td> </tr> <tr> <td> <h4>ID from previous study:</h4> </td> <td> <h4>[orgid]</h4> </td> </tr> <tr> <td> <h4>Name Initials:</h4> </td> <td> <h4>[first],[middle],[last]</h4> </td> </tr> <tr> <td> <h4>Date of Birth:</h4> </td> <td> <h4>[dob]</h4> </td> </tr> <tr> <td> <h4>Age:</h4> </td> <td> <h4>[age]</h4> </td> </tr> <tr> <td> <h4>Sex:</h4> </td> <td> <h4>[sex]</h4> </td> </tr> </tbody> </table> </div>",,,,,,,,,,,,,,"<h3 class=""red"" style=""text-align: left;"">Verify that you are entering information for:</h3> <div class=""red"" style=""text-align: left;""> <table style=""border-collapse: collapse;""> <tbody> <tr> <td> <h4>SAMPA ID:</h4> </td> <td> <h4>[sampa_id]</h4> </td> </tr> <tr> <td> <h4>Cohort:</h4> </td> <td> <h4>[cohort]</h4> </td> </tr> <tr> <td> <h4>ID from previous study:</h4> </td> <td> <h4>[orgid]</h4> </td> </tr> <tr> <td> <h4>Name Initials:</h4> </td> <td> <h4>[first],[middle],[last]</h4> </td> </tr> <tr> <td> <h4>Date of Birth:</h4> </td> <td> <h4>[dob]</h4> </td> </tr> <tr> <td> <h4>Age:</h4> </td> <td> <h4>[age]</h4> </td> </tr> <tr> <td> <h4>Sex:</h4> </td> <td> <h4>[sex]</h4> </td> </tr> </tbody> </table> </div>",
clinic_date_history,crf_3_clinical_history_and_exam,,text,[3.1] Date of Clinic Visit [Participant was seen by the Doctor],,,date_dmy,,,,,y,,[3.1],,,,Date of Clinic Visit [Participant was seen by the Doctor],3.1
pregnant,crf_3_clinical_history_and_exam,,radio,[3.2] Is the person pregnant?,"1, male | 2, female, >50 years and says they are post-menopausal | 3, they know they are pregnant | 4, Yes agree to test | 5, Did not agree to pregnancy test | 102,Absconded",,,,,,[cohort]>2 AND [sex]='2' AND ([consent_basic]=1 or [consent_basic]='2'),y,,[3.2],,,"@HIDECHOICE=""1"" @DEFAULT='[preg_test:value]'",Is the person pregnant?,3.2
preg_result1,crf_3_clinical_history_and_exam,,radio,Pregnancy Test Results,"1, has documented negative pregnancy test performed by SAMPA | 2, has documented positive pregnancy test performed by SAMPA ",,,,,,[pregnant]='4',,,,,,@DEFAULT='[preg_result:value]',Pregnancy Test Results,
suspect_hiv,crf_3_clinical_history_and_exam,,radio,Clinician suspects HIV infection on the person?,"0, No | 1, Yes",,,,,,[cohort]='1' OR [cohort]='5' OR [cohort]='6',,,,,,,Clinician suspects HIV infection on the person?,
hiv,crf_3_clinical_history_and_exam,,radio,"[3.3] Is the person HIV-infected? This should already be known for all adults but may not be for SAM Lusaka children.

If the person does not know their HIV status but would like to, refer them to local testing services and encourage them to return with their test result. ","0, No | 1, Yes | -97,Don't know | -98,Refused | -100,Pending",,,,,,[cohort]='2' OR [cohort]='3' OR [cohort]='4' or [suspect_hiv]='1',y,,[3.3],,,,"Is the person HIV-infected? This should already be known for all adults but may not be for SAM Lusaka children.

If the person does not know their HIV status but would like to, refer them to local testing services and encourage them to return with their test result. ",3.3
art,crf_3_clinical_history_and_exam,,radio,"[3.4] For HIV-infected participants, are they currently taking ART?","0, No | 1, Yes | -97,Don't know ",,,,,,[hiv]='1',y,,[3.4],,,,"For HIV-infected participants, are they currently taking ART?",3.4
